ko	description	Cytoplasmic	CytoplasmicMembrane	Extracellular	OuterMembrane	Periplasmic	Unknown	subcellular location	copy number	fraction of prokaryotes
K00280	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]	0	0	0	1	0	0	non-cytoplasmatic	1	0.000359971
K01127	E3.1.4.50; glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]	0	0	1	0	0	0	non-cytoplasmatic	2	0.000359971
K01213	"E3.2.1.67; galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]"	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K01337	E3.4.21.50; lysyl endopeptidase [EC:3.4.21.50]	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K05972	AXE1; acetylxylan esterase [EC:3.1.1.72]	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K10700	ebdA; ethylbenzene hydroxylase subunit alpha [EC:1.17.99.2]	0	0	0	0	1	0	non-cytoplasmatic	1	0.000359971
K11833	USP2_21; ubiquitin carboxyl-terminal hydrolase 2/21 [EC:3.4.19.12]	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K12546	nodO; putative nodulation protein	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K12809	espG2; T3SS secreted effector EspG-like protein	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K12810	bfpA; major structural subunit of bundle-forming pilus	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K13478	popP2; type III effector protein PopP2	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K15236	linA; gamma-hexachlorocyclohexane dehydrochlorinase [EC:4.5.1.-]	0	0	0	0	1	0	non-cytoplasmatic	1	0.000359971
K16342	"PLA2G4, CPLA2; cytosolic phospholipase A2 [EC:3.1.1.4]"	0	0	0	1	0	0	non-cytoplasmatic	1	0.000359971
K16393	fscB; candicidin polyketide synthase FscB	0	0	0	1	0	0	non-cytoplasmatic	1	0.000359971
K16883	sta; heat-stable enterotoxin STa/STI	0	0	1	0	0	0	non-cytoplasmatic	2	0.000359971
K16884	stb; heat-stable enterotoxin STb/STII	0	0	1	0	0	0	non-cytoplasmatic	1	0.000359971
K17049	ebdC; ethylbenzene hydroxylase subunit gamma	0	0	0	0	1	0	non-cytoplasmatic	1	0.000359971
K18491	ESX1; homeobox protein ESX1	0	0	0	1	0	0	non-cytoplasmatic	1	0.000359971
K18795	blaCARB-1; beta-lactamase class A CARB-1 [EC:3.5.2.6]	0	0	0	0	1	0	non-cytoplasmatic	1	0.000359971
K18797	blaPER; beta-lactamase class A PER [EC:3.5.2.6]	0	0	0	0	1	0	non-cytoplasmatic	1	0.000359971
K19100	blaDHA; beta-lactamase class C DHA [EC:3.5.2.6]	0	0	0	0	1	0	non-cytoplasmatic	1	0.000359971
K13451	avrPto1; type III effector protein AvrPto1	0	0	1	0	0	0	non-cytoplasmatic	1	0.000719942
K15756	"carC; 2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoate hydrolase [EC:3.7.1.13]"	0	0	1	0	0	0	non-cytoplasmatic	1	0.000719942
K17831	lodA; L-lysine 6-oxidase [EC:1.4.3.20]	0	0	0	1	0	0	non-cytoplasmatic	1	0.000719942
K09568	FKBP1; FK506-binding protein 1 [EC:5.2.1.8]	0	0	0	0	1	0	non-cytoplasmatic	1	0.001079914
K11059	entA; probable enterotoxin A	0	0	0	1	0	0	non-cytoplasmatic	1	0.001079914
K12535	"rsaF; outer membrane protein, S-layer protein transport system"	0	0	0	1	0	0	non-cytoplasmatic	1	0.001079914
K12544	rsaA; S-layer protein	0	0	0.666666667	0.333333333	0	0	non-cytoplasmatic	1	0.001079914
K13452	"hopAB, avrPtoB; effector protein HopAB [EC:6.3.2.-]"	0	0	1	0	0	0	non-cytoplasmatic	1	0.001079914
K13461	hopM1; effector protein HopM1	0	0	1	0	0	0	non-cytoplasmatic	1	0.001079914
K15477	vipD; VPS inhibitor protein D	0	0	1	0	0	0	non-cytoplasmatic	1	0.001079914
K15675	"rhiB; rhizoxin biosynthesis, polyketide synthase / nonribosomal peptide synthetase RhiB"	0	0	0	0	1	0	non-cytoplasmatic	1	0.001079914
K18683	rus; rusticyanin	0	0	0	0	1	0	non-cytoplasmatic	1.666666667	0.001079914
K19096	blaCMY-2; beta-lactamase class C CMY-2 [EC:3.5.2.6]	0	0	0	0	1	0	non-cytoplasmatic	1	0.001079914
K01390	iga; IgA-specific metalloendopeptidase [EC:3.4.24.13]	0	0	0	1	0	0	non-cytoplasmatic	1	0.001439885
K08605	gelE; coccolysin [EC:3.4.24.30]	0	0	1	0	0	0	non-cytoplasmatic	1	0.001439885
K16517	"K16517, galP; porin-like protein GalP"	0	0	0	1	0	0	non-cytoplasmatic	1	0.001439885
K04342	strK; streptomycin-6-phosphatase [EC:3.1.3.39]	0	0	0	0	1	0	non-cytoplasmatic	1	0.001799856
K12683	brkA; serum resistance protein	0	0	0.444444444	0.555555556	0	0	non-cytoplasmatic	1	0.002159827
K13742	ipgB1; protein IpgB1	0	0	1	0	0	0	non-cytoplasmatic	1	0.002159827
K13791	ipaH9.8; invasion plasmid antigen	0	0	1	0	0	0	non-cytoplasmatic	1	0.002159827
K16636	"K16636, exoT; exoenzyme T"	0	0	1	0	0	0	non-cytoplasmatic	1	0.002159827
K16638	"K16638, exoU; exoenzyme U"	0	0	1	0	0	0	non-cytoplasmatic	1	0.002159827
K12549	lapA; surface adhesion protein	0	0	1	0	0	0	non-cytoplasmatic	1	0.002519798
K12682	tcfA; tracheal colonization factor	0	0	0	1	0	0	non-cytoplasmatic	1	0.002519798
K13520	"icsP, sopA; outer membrane protease [EC:3.4.23.-]"	0	0	0	1	0	0	non-cytoplasmatic	1	0.002519798
K13585	hfaA; holdfast attachment protein HfaA	0	0	0.857142857	0	0	0.142857143	non-cytoplasmatic	1	0.002519798
K10964	tcpS; toxin co-regulated pilus biosynthesis protein S	0	0	0	0	1	0	non-cytoplasmatic	1	0.00287977
K11030	pagA; protective antigen	0	0	0	1	0	0	non-cytoplasmatic	1.125	0.00287977
K12681	prn; pertactin	0	0	0.181818182	0.818181818	0	0	non-cytoplasmatic	1	0.00287977
K01406	E3.4.24.40; serralysin [EC:3.4.24.40]	0	0	1	0	0	0	non-cytoplasmatic	1.111111111	0.003239741
K15126	bteA; type III secretion system cytotoxic effector protein	0	0	0	0.916666667	0	0.083333333	non-cytoplasmatic	1	0.003239741
K16635	exoS; exoenzyme S	0	0	1	0	0	0	non-cytoplasmatic	1	0.003239741
K08603	npr; thermolysin [EC:3.4.24.27]	0	0	1	0	0	0	non-cytoplasmatic	1	0.003599712
K10940	ompT; outer membrane protein OmpT	0	0	0	1	0	0	non-cytoplasmatic	1	0.003599712
K12789	tccP; Tir-cytoskeleton coupling protein	0	0	0.916666667	0	0	0.083333333	non-cytoplasmatic	1.2	0.003599712
K12341	yadA; adhesin YadA	0	0	0	1	0	0	non-cytoplasmatic	1	0.003959683
K12520	papE; minor pilin subunit PapE	0	0	1	0	0	0	non-cytoplasmatic	1.272727273	0.003959683
K15474	enhC; enhanced entry protein EnhC	0	0	1	0	0	0	non-cytoplasmatic	1	0.003959683
K16637	"K16637, exoY; adenylate cyclase ExoY"	0	0	1	0	0	0	non-cytoplasmatic	1	0.003959683
K12522	papG; adhesin PapG	0	0	0.923076923	0	0	0.076923077	non-cytoplasmatic	1.083333333	0.004319654
K12523	papK; minor pilin subunit PapK	0	0	1	0	0	0	non-cytoplasmatic	1.083333333	0.004319654
K12784	tir; translocated intimin receptor	0	0	1	0	0	0	non-cytoplasmatic	1	0.004319654
K12786	espF; LEE-encoded effector EspF	0	0	1	0	0	0	non-cytoplasmatic	1	0.004319654
K18147	"adeC; outer membrane protein, multidrug efflux system"	0	0	0	1	0	0	non-cytoplasmatic	1	0.004319654
K18323	"smeC; outer membrane protein, multidrug efflux system"	0	0	0	1	0	0	non-cytoplasmatic	1	0.004319654
K08640	E3.4.17.14; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	0	0	0.833333333	0	0	0.166666667	non-cytoplasmatic	1.153846154	0.004679626
K11020	toxA; exotoxin A [EC:2.4.2.-]	0	0	1	0	0	0	non-cytoplasmatic	1	0.004679626
K12521	papF; minor pilin subunit PapF	0	0	1	0	0	0	non-cytoplasmatic	1.230769231	0.004679626
K18377	hpa2; lysozyme-related protein Hpa2	0	0	0	0	1	0	non-cytoplasmatic	1	0.004679626
K01364	speB; streptopain [EC:3.4.22.10]	0	0	0.952380952	0	0	0.047619048	non-cytoplasmatic	1	0.005039597
K01399	lasB; pseudolysin [EC:3.4.24.26]	0	0	1	0	0	0	non-cytoplasmatic	1	0.005039597
K04055	"yscM, sctM; type III secretion protein M"	0	0	1	0	0	0	non-cytoplasmatic	1	0.005039597
K10535	hao; hydroxylamine dehydrogenase [EC:1.7.2.6]	0	0	0	0	0.916666667	0.083333333	non-cytoplasmatic	1.714285714	0.005039597
K12517	papA; major pilin subunit PapA	0	0	1	0	0	0	non-cytoplasmatic	1.142857143	0.005039597
K12518	papC; outer membrane usher protein PapC	0	0	0	1	0	0	non-cytoplasmatic	1.071428571	0.005039597
K12519	papD; chaperone protein PapD	0	0	0	0	1	0	non-cytoplasmatic	1.071428571	0.005039597
K12790	eae; intimin	0	0	0	1	0	0	non-cytoplasmatic	1	0.005039597
K13000	wbyJ; mannosyltransferase [EC:2.4.1.-]	0	0	0	1	0	0	non-cytoplasmatic	1	0.005039597
K13925	pfbA; plasmin and fibronectin-binding protein A	0	0	0	0.875	0	0.125	non-cytoplasmatic	1	0.005039597
K18132	"K18132, porA; major outer membrane protein P.IA"	0	0	0	1	0	0	non-cytoplasmatic	1	0.005039597
K10930	tcpA; toxin co-regulated pilin	0	0	1	0	0	0	non-cytoplasmatic	1	0.005399568
K10932	tcpC; toxin co-regulated pilus biosynthesis outer membrane protein C	0	0	0	1	0	0	non-cytoplasmatic	1	0.005399568
K10948	hlyA; hemolysin	0	0	1	0	0	0	non-cytoplasmatic	1.066666667	0.005399568
K13790	"icsB, bopA; virulence protein IcsB"	0	0	1	0	0	0	non-cytoplasmatic	1	0.005399568
K18904	"nodT, ameC; outer membrane protein, multidrug efflux system"	0	0	0	1	0	0	non-cytoplasmatic	1	0.005399568
K01795	algG; poly(beta-D-mannuronate) C5 epimerase [EC:5.1.3.-]	0	0	0	0	0.87	0.13	non-cytoplasmatic	1.1875	0.005759539
K11029	cyaA; anthrax edema toxin adenylate cyclase [EC:4.6.1.1]	0	0	1	0	0	0	non-cytoplasmatic	1	0.005759539
K12342	yadB_C; adhesin YadB/C	0	0	0	1	0	0	non-cytoplasmatic	1.882352941	0.00611951
K17052	"clrC, serC; complex iron-sulfur molybdoenzyme family reductase subunit gamma"	0	0	0	0	0.944444444	0.055555556	non-cytoplasmatic	1	0.006479482
K18133	"K18133, porB; major outer membrane protein P.IB"	0	0	0	1	0	0	non-cytoplasmatic	1	0.006479482
K05999	E3.4.21.101; xanthomonalisin [EC:3.4.21.101]	0	0	0.945454545	0	0.054545455	0	non-cytoplasmatic	1.105263158	0.006839453
K10953	rtxA; RTX toxin RtxA	0	0	0.979591837	0	0	0.020408163	non-cytoplasmatic	1.263157895	0.006839453
K11023	"ptxA, artA; pertussis toxin subunit 1 [EC:2.4.2.-]"	0	0	0.85	0	0	0.15	non-cytoplasmatic	1.052631579	0.006839453
K11018	tlh; thermolabile hemolysin	0	0	0.981132075	0	0	0.018867925	non-cytoplasmatic	1	0.007199424
K12785	"espG, virA; LEE-encoded effector EspG"	0	0	1	0	0	0	non-cytoplasmatic	1	0.007199424
K08599	yopT; YopT peptidase [EC:3.4.22.-]	0	0	0.909090909	0	0	0.090909091	non-cytoplasmatic	1.095238095	0.007559395
K16559	"exoK; endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]"	0	0	0.923076923	0	0	0.076923077	non-cytoplasmatic	1	0.007919366
K16080	mnoP; high affinity Mn2+ porin	0	0	0	0.923076923	0	0.076923077	non-cytoplasmatic	1.434782609	0.008279338
K04057	"yscP, sctP; type III secretion protein P"	0	0	0.857142857	0.017857143	0.035714286	0.089285714	non-cytoplasmatic	1	0.008639309
K16078	ail; attachment invasion locus protein	0	0	0	0.96	0	0.04	non-cytoplasmatic	1	0.008639309
K18008	hydA2; [NiFe] hydrogenase small subunit [EC:1.12.2.1]	0	0.083333333	0	0	0.875	0.041666667	non-cytoplasmatic	1	0.008639309
